source_key,company_name,registration_id,legal_name,trade_name,parent_name,company_type,industry,segment,status,country,region,city,postal_code,street,building,suite,branch_code,website,email,phone,tax_id,vat_status,currency,language,time_zone,founded,employee_band,revenue_band,credit_grade,payment_terms,customer_since,last_verified,updated_at,crm_system,account_status,account_owner,billing_country,shipping_country,risk_rating,compliance_status,contract_type,renewal_month,support_tier,sales_region,customer_tier,preferred_channel,import_batch,legacy_account_id,notes
REF-005110,Briarfen Materials Singapore Pte Ltd,SG-SYN-005110,Briarfen Materials Singapore Pte Ltd,Briarfen Materials,Briarfen Group,Pte Ltd,Materials,SMB,Active,SG,Central,Singapore,018989,Example Works Lane,135,B4,SG-124,https://c005110.example,crm@c005110.example,TEST-005110,TEST-TAX-005110,Registered,SGD,en,Asia/Singapore,1983,1000+,100m+,A2,NET30,2023-10-15,2025-10-20,2026-06-03,Atlas CRM,Current,Team 7,SG,CH,Low,Cleared,Annual,2027-10,Standard,EMEA,Core,Email,REF-2026,LEG-005110,"Synthetic; multiline
CRM note"
REF-001002,Xandora Automation Pune Pvt Ltd,IN-SYN-001002,Xandora Automation Pune Pvt Ltd,Xandora Automation,Xandora Group,Pvt Ltd,Automation,Midmarket,Active,IN,Maharashtra,Pune,411001,Sample Tech Road,7,B13,IN-004,https://c001002.example,crm@c001002.example,TEST-001002,TEST-TAX-001002,Registered,INR,en,Asia/Kolkata,1983,11-50,1-5m,A2,NET60,2017-06-15,2025-06-20,2026-02-03,Atlas CRM,On hold,Team 3,IN,IN,High,Cleared,Project,2027-06,Dedicated,AMER,Strategic,Email,REF-2026,LEG-001002,"Synthetic; multiline
CRM note"
REF-003841,Aster Textiles Göteborg AB,SE-SYN-003841,Aster Textiles Göteborg AB,Aster Textiles,Aster Group,AB,Textiles,SMB,Active,SE,Västra Götaland,Göteborg,411 01,Verkstadsgatan,60,B23,SE-849,https://c003841.example,crm@c003841.example,TEST-003841,TEST-TAX-003841,Exempt,SEK,sv,Europe/Stockholm,2014,1-10,<1m,A1,NET30,2014-01-15,2025-01-20,2026-01-03,Atlas CRM,Current,Team 7,SE,JP,Low,Cleared,Annual,2027-01,Standard,EMEA,Core,Portal,REF-2026,LEG-003841,Synthetic account
REF-003132,Kraków Northfen Textiles Dubai FZCO,AE-SYN-003132,Kraków Northfen Textiles Dubai FZCO,Northfen Textiles,Northfen Group,FZCO,Textiles,Midmarket,Active,AE,Dubai,Dubai,00000,Example Trade Park,147,B4,AE-140,https://c003132.example,crm@c003132.example,TEST-003132,TEST-TAX-003132,Registered,AED,ar,Asia/Dubai,1981,11-50,1-5m,B2,NET60,2019-12-15,2025-12-20,2026-04-03,Atlas CRM,Current,Team 9,AE,FR,High,Cleared,Project,2027-12,Dedicated,AMER,Strategic,Email,REF-2026,LEG-003132,Synthetic account
REF-000229,Elmridge Equipment Tōkyō KK,JP-SYN-000229,Elmridge Equipment Tōkyō KK,Elmridge Equipment,Elmridge Group,KK,Equipment,SMB,Active,JP,Kantō,Tōkyō,100-0001,Test Industrial Ave,30,B22,JP-228,https://c000229.example,crm@c000229.example,TEST-000229,TEST-TAX-000229,Exempt,JPY,ja,Asia/Tokyo,1990,251-1000,25-100m,A1,NET30,2014-01-15,2025-01-20,2026-05-03,Atlas CRM,Current,Team 4,JP,JP,Low,Cleared,Annual,2027-01,Standard,EMEA,Core,Portal,REF-2026,LEG-000229,Synthetic account
REF-004477,Corvell Design West Branch São Paulo,BR-SYN-004477,Corvell Design West Branch São Paulo,Corvell Design,Corvell Group,Ltda,Design,SMB,Active,BR,São Paulo,São Paulo,01000-000,Rua das Oficinas,99,B15,BR-488,https://c004477.example,crm@c004477.example,TEST-004477,TEST-TAX-004477,Exempt,BRL,pt,America/Sao_Paulo,1974,11-50,1-5m,A1,NET30,2020-01-15,2025-01-20,2026-05-03,Atlas CRM,Current,Team 4,BR,JP,Low,Cleared,Annual,2027-01,Standard,EMEA,Core,Portal,REF-2026,LEG-004477,Regional service account
REF-000741,Umber Equipment München GmbH,DE-SYN-000741,Umber Equipment München GmbH,Umber Equipment,Umber Group,GmbH,Equipment,Midmarket,Active,DE,Bayern,München,80331,Industriestraße,144,B5,DE-740,https://c000741.example,crm@c000741.example,TEST-000741,TEST-TAX-000741,Registered,EUR,de,Europe/Berlin,1982,1-10,<1m,A1,NET60,2022-09-15,2025-09-20,2026-05-03,Atlas CRM,Current,Team 3,DE,SG,High,Cleared,Project,2027-09,Dedicated,AMER,Strategic,Portal,REF-2026,LEG-000741,Synthetic account
REF-000489,Yarrow Manufacturing Pune Pvt Ltd,IN-SYN-000489,Yarrow Manufacturing Pune Pvt Ltd,Yarrow Manufacturing,Yarrow Group,Pvt Ltd,Manufacturing,Midmarket,Active,IN,Maharashtra,Pune,411001,Sample Tech Road,91,B6,IN-488,https://c000489.example,crm@c000489.example,TEST-000489,TEST-TAX-000489,Registered,INR,en,Asia/Kolkata,1990,251-1000,25-100m,A1,NET60,2022-09-15,2025-09-20,2026-01-03,Atlas CRM,Current,Team 3,IN,SG,High,Cleared,Project,2027-09,Dedicated,AMER,Strategic,Portal,REF-2026,LEG-000489,Synthetic account
REF-003538,Zürich Flinora Trading Göteborg AB,SE-SYN-003538,Zürich Flinora Trading Göteborg AB,Flinora Trading,Flinora Group,AB,Trading,SMB,Active,SE,Västra Götaland,Göteborg,411 01,Verkstadsgatan,155,B19,SE-546,https://c003538.example,crm@c003538.example,TEST-003538,TEST-TAX-003538,Registered,SEK,sv,Europe/Stockholm,1971,51-250,5-25m,A2,NET30,2019-10-15,2025-10-20,2026-02-03,Atlas CRM,Current,Team 1,SE,CH,Low,Review,Annual,2027-10,Standard,EMEA,Core,Email,REF-2026,LEG-003538,Synthetic account
REF-002530,Harven Foods Lyon SAS,FR-SYN-002530,Harven Foods Lyon SAS,Harven Foods,Harven Group,SAS,Foods,SMB,Active,FR,Rhône,Lyon,69002,Rue des Ateliers,142,B23,FR-535,https://c002530.example,crm@c002530.example,TEST-002530,TEST-TAX-002530,Registered,EUR,fr,Europe/Paris,2003,1000+,100m+,A2,NET30,2019-10-15,2025-10-20,2026-02-03,Atlas CRM,Current,Team 1,FR,CH,Low,Review,Annual,2027-10,Standard,EMEA,Core,Email,REF-2026,LEG-002530,Synthetic account
REF-001004,Dalestra Mobility Singapore Pte Ltd,SG-SYN-001004,Dalestra Mobility Singapore Pte Ltd,Dalestra Mobility,Dalestra Group,Pte Ltd,Mobility,Enterprise,Dormant,SG,Central,Singapore,018989,Example Works Lane,9,B15,SG-006,https://c001004.example,crm@c001004.example,TEST-001004,TEST-TAX-001004,Registered,SGD,en,Asia/Singapore,1985,251-1000,25-100m,B2,NET45,2019-08-15,2025-08-20,2026-04-03,Atlas CRM,Current,Team 5,SG,MX,Medium,Cleared,Rolling,2027-08,Priority,APAC,Growth,Email,REF-2026,LEG-001004,Synthetic account
REF-001307,Morwick Textiles Singapore Pte Ltd,SG-SYN-001307,Morwick Textiles Singapore Pte Ltd,Morwick Textiles,Morwick Group,Pte Ltd,Textiles,Enterprise,Active,SG,Central,Singapore,018989,Example Works Lane,113,B19,SG-309,https://c001307.example,crm@c001307.example,TEST-001307,TEST-TAX-001307,Registered,SGD,en,Asia/Singapore,1976,11-50,1-5m,B1,NET45,2014-11-15,2025-11-20,2026-03-03,Atlas CRM,Current,Team 2,SG,DE,Medium,Cleared,Rolling,2027-11,Priority,APAC,Growth,Portal,REF-2026,LEG-001307,Synthetic account
REF-004016,Zelwick Textiles Tōkyō KK,JP-SYN-004016,Zelwick Textiles Tōkyō KK,Zelwick Textiles,Zelwick Group,KK,Textiles,Enterprise,Active,JP,Kantō,Tōkyō,100-0001,Test Industrial Ave,36,B14,JP-027,https://c004016.example,crm@c004016.example,TEST-004016,TEST-TAX-004016,Registered,JPY,ja,Asia/Tokyo,1981,1-10,<1m,B2,NET45,2021-08-15,2025-08-20,2026-08-03,Atlas CRM,On hold,Team 2,JP,MX,Medium,Cleared,Rolling,2027-08,Priority,APAC,Growth,Email,REF-2026,LEG-004016,Synthetic account
REF-000695,Caldora Distribution Lyon SAS,FR-SYN-000695,Caldora Distribution Lyon SAS,Caldora Distribution,Caldora Group,SAS,Distribution,Enterprise,Active,FR,Rhône,Lyon,69002,Rue des Ateliers,98,B5,FR-694,https://c000695.example,crm@c000695.example,TEST-000695,TEST-TAX-000695,Registered,EUR,fr,Europe/Paris,1988,1000+,100m+,B1,NET45,2018-11-15,2025-11-20,2026-07-03,Atlas CRM,Current,Team 2,FR,DE,Medium,Cleared,Rolling,2027-11,Priority,APAC,Growth,Portal,REF-2026,LEG-000695,Synthetic account
REF-002767,Solmere Services Dubai FZCO,AE-SYN-002767,Solmere Services Dubai FZCO,Solmere Services,Solmere Group,FZCO,Services,SMB,Active,AE,Dubai,Dubai,00000,Example Trade Park,180,B7,AE-772,https://c002767.example,crm@c002767.example,TEST-002767,TEST-TAX-002767,Exempt,AED,ar,Asia/Dubai,1980,11-50,1-5m,B1,NET30,2018-07-15,2025-07-20,2026-07-03,Atlas CRM,Current,Team 4,AE,SE,Low,Cleared,Annual,2027-07,Standard,EMEA,Core,Portal,REF-2026,LEG-002767,Synthetic account
REF-003544,Łódź Junera Distribution São Paulo Ltda,BR-SYN-003544,Łódź Junera Distribution São Paulo Ltda,Junera Distribution,Junera Group,Ltda,Distribution,SMB,Active,BR,São Paulo,São Paulo,01000-000,Rua das Oficinas,161,B2,BR-552,https://c003544.example,crm@c003544.example,TEST-003544,TEST-TAX-003544,Registered,BRL,pt,America/Sao_Paulo,1977,251-1000,25-100m,B2,NET30,2011-04-15,2025-04-20,2026-08-03,Atlas CRM,Current,Team 7,BR,BR,Low,Cleared,Annual,2027-04,Standard,EMEA,Core,Email,REF-2026,LEG-003544,Synthetic account
REF-003080,İzmir Riverton Optics Mérida SA,MX-SYN-003080,İzmir Riverton Optics Mérida SA,Riverton Optics,Riverton Group,SA,Optics,Enterprise,Active,MX,Yucatán,Mérida,97000,Calle del Taller,95,B21,MX-088,https://c003080.example,crm@c003080.example,TEST-003080,TEST-TAX-003080,Registered,MXN,es,America/Merida,1981,1000+,100m+,B2,NET45,2023-08-15,2025-08-20,2026-08-03,Atlas CRM,Current,Team 2,MX,MX,Medium,Cleared,Rolling,2027-08,Priority,APAC,Growth,Email,REF-2026,LEG-003080,Synthetic account
REF-000449,Yarrow Foods Dubai FZCO,AE-SYN-000449,Yarrow Foods Dubai FZCO,Yarrow Foods,Yarrow Group,FZCO,Foods,Enterprise,Active,AE,Dubai,Dubai,00000,Example Trade Park,51,B12,AE-448,https://c000449.example,crm@c000449.example,TEST-000449,TEST-TAX-000449,Registered,AED,ar,Asia/Dubai,2002,251-1000,25-100m,A1,NET45,2010-05-15,2025-05-20,2026-01-03,Atlas CRM,Current,Team 8,AE,AE,Medium,Cleared,Rolling,2027-05,Priority,APAC,Growth,Portal,REF-2026,LEG-000449,Synthetic account
REF-001980,Lunera Trading Bristol Ltd,GB-SYN-001980,Lunera Trading Bristol Ltd,Lunera Trading,Lunera Group,Ltd,Trading,Midmarket,Active,GB,England,Bristol,BS1 1AA,Foundry Way,189,B2,GB-982,https://c001980.example,crm@c001980.example,TEST-001980,TEST-TAX-001980,Registered,GBP,en,Europe/London,1973,1000+,100m+,B2,NET60,2015-12-15,2025-12-20,2026-04-03,Atlas CRM,Current,Team 9,GB,FR,High,Cleared,Project,2027-12,Dedicated,AMER,Strategic,Email,REF-2026,LEG-001980,Synthetic account
REF-000158,Larkmere Foods Lyon SAS,FR-SYN-000158,Larkmere Foods Lyon SAS,Larkmere Foods,Larkmere Group,SAS,Foods,Enterprise,Active,FR,Rhône,Lyon,69002,Rue des Ateliers,158,B20,FR-157,https://c000158.example,crm@c000158.example,TEST-000158,TEST-TAX-000158,Registered,EUR,fr,Europe/Paris,1971,51-250,5-25m,A2,NET45,2013-02-15,2025-02-20,2026-06-03,Atlas CRM,Current,Team 5,FR,US,Medium,Cleared,Rolling,2027-02,Priority,APAC,Growth,Email,REF-2026,LEG-000158,Synthetic account
REF-002500,Lunera Services Tōkyō KK,JP-SYN-002500,Lunera Services Tōkyō KK,Lunera Services,Lunera Group,KK,Services,SMB,Dormant,JP,Kantō,Tōkyō,100-0001,Test Industrial Ave,112,B16,JP-505,https://c002500.example,crm@c002500.example,TEST-002500,TEST-TAX-002500,Registered,JPY,ja,Asia/Tokyo,1973,1000+,100m+,B2,NET30,2017-04-15,2025-04-20,2026-04-03,Atlas CRM,Current,Team 7,JP,BR,Low,Cleared,Annual,2027-04,Standard,EMEA,Core,Email,REF-2026,LEG-002500,Synthetic account
REF-001851,Everfen Automation Mérida SA,MX-SYN-001851,Everfen Automation Mérida SA,Everfen Automation,Everfen Group,SA,Automation,Midmarket,Active,MX,Yucatán,Mérida,97000,Calle del Taller,60,B11,MX-853,https://c001851.example,crm@c001851.example,TEST-001851,TEST-TAX-001851,Registered,MXN,es,America/Merida,2000,1-10,<1m,B1,NET60,2012-03-15,2025-03-20,2026-03-03,Atlas CRM,Current,Team 6,MX,GB,High,Cleared,Project,2027-03,Dedicated,AMER,Strategic,Portal,REF-2026,LEG-001851,Synthetic account
